task,variant,model,time_ms,improvement,passed,correctness,source
ipb_cpu_001_gaussian_blur,exact,claude-opus-5,3.8380,1.0000,True,True,remeasure
ipb_cpu_001_gaussian_blur,exact,claude-sonnet-5,9.0700,0.9992,True,True,remeasure
ipb_cpu_001_gaussian_blur,fuzzy,claude-opus-5,5.9300,0.0000,False,False,remeasure
ipb_cpu_001_gaussian_blur,fuzzy,claude-opus-5,5.9200,0.0000,False,False,remeasure
ipb_cpu_001_gaussian_blur,fuzzy,claude-opus-5,0.3700,1.0000,True,True,remeasure
ipb_cpu_001_gaussian_blur,fuzzy,claude-sonnet-5,8.4070,1.0000,True,True,remeasure
ipb_cpu_001_gaussian_blur,fuzzy,gpt-5.6-luna,10.5370,N/A,N/A,N/A,results
ipb_cpu_001_gaussian_blur,fuzzy,gpt-5.6-terra,9.5130,N/A,N/A,N/A,results
ipb_cpu_001_gaussian_blur,misleading,claude-opus-5,3.0360,0.0000,False,False,remeasure
ipb_cpu_001_gaussian_blur,misleading,claude-opus-5,3.1260,0.0000,False,False,remeasure
ipb_cpu_001_gaussian_blur,misleading,claude-opus-5,0.5380,1.0000,True,True,remeasure
ipb_cpu_001_gaussian_blur,misleading,claude-sonnet-5,103.1730,0.0000,False,True,remeasure
ipb_cpu_001_gaussian_blur,misleading,gpt-5.6-luna,6.9090,N/A,N/A,N/A,results
ipb_cpu_001_gaussian_blur,misleading,gpt-5.6-terra,5.9750,N/A,N/A,N/A,results
ipb_cpu_002_sha256_throughput,exact,claude-opus-5,N/A,N/A,N/A,N/A,remeasure
ipb_cpu_002_sha256_throughput,exact,claude-sonnet-5,377.8170,0.9967,True,True,remeasure
ipb_cpu_002_sha256_throughput,fuzzy,claude-opus-5,367.2530,1.0000,True,True,remeasure
ipb_cpu_002_sha256_throughput,fuzzy,claude-opus-5,378.2240,0.9964,True,True,remeasure
ipb_cpu_002_sha256_throughput,fuzzy,claude-opus-5,368.9160,1.0000,True,True,remeasure
ipb_cpu_002_sha256_throughput,fuzzy,claude-sonnet-5,390.3840,0.9892,True,True,remeasure
ipb_cpu_002_sha256_throughput,fuzzy,gpt-5.6-luna,2091.4160,N/A,N/A,N/A,results
ipb_cpu_002_sha256_throughput,fuzzy,gpt-5.6-terra,2118.4260,N/A,N/A,N/A,results
ipb_cpu_002_sha256_throughput,misleading,claude-opus-5,331.9370,1.0000,True,True,remeasure
ipb_cpu_002_sha256_throughput,misleading,claude-opus-5,384.1450,0.9929,True,True,remeasure
ipb_cpu_002_sha256_throughput,misleading,claude-opus-5,371.2140,1.0000,True,True,remeasure
ipb_cpu_002_sha256_throughput,misleading,claude-sonnet-5,411.3610,0.9766,True,True,remeasure
ipb_cpu_002_sha256_throughput,misleading,gpt-5.6-luna,2510.4690,N/A,N/A,N/A,results
ipb_cpu_002_sha256_throughput,misleading,gpt-5.6-terra,1937.1550,N/A,N/A,N/A,results
ipb_cpu_003_vliw_scheduler,exact,claude-opus-5,1249.0000,0.9830,True,True,remeasure
ipb_cpu_003_vliw_scheduler,exact,claude-sonnet-5,N/A,N/A,N/A,True,remeasure
ipb_cpu_003_vliw_scheduler,fuzzy,claude-opus-5,1588.0000,0.8653,True,True,remeasure
ipb_cpu_003_vliw_scheduler,fuzzy,claude-opus-5,1588.0000,0.8653,True,True,remeasure
ipb_cpu_003_vliw_scheduler,fuzzy,claude-opus-5,4080.0000,0.0000,False,True,remeasure
ipb_cpu_003_vliw_scheduler,fuzzy,claude-sonnet-5,4080.0000,0.0000,False,True,remeasure
ipb_cpu_003_vliw_scheduler,fuzzy,gpt-5.6-luna,1200.0000,N/A,N/A,N/A,results
ipb_cpu_003_vliw_scheduler,fuzzy,gpt-5.6-luna,1590.0000,N/A,N/A,N/A,results
ipb_cpu_003_vliw_scheduler,fuzzy,gpt-5.6-terra,1590.0000,N/A,N/A,N/A,results
ipb_cpu_003_vliw_scheduler,misleading,claude-opus-5,1378.0000,0.9382,True,True,remeasure
ipb_cpu_003_vliw_scheduler,misleading,claude-opus-5,1378.0000,0.9382,True,True,remeasure
ipb_cpu_003_vliw_scheduler,misleading,claude-opus-5,1201.0000,0.9997,True,True,remeasure
ipb_cpu_003_vliw_scheduler,misleading,claude-sonnet-5,4080.0000,0.0000,False,True,remeasure
ipb_cpu_003_vliw_scheduler,misleading,gpt-5.6-luna,4078.0000,N/A,N/A,N/A,results
ipb_cpu_003_vliw_scheduler,misleading,gpt-5.6-terra,1418.0000,N/A,N/A,N/A,results
ipb_cpu_004_aes128_ctr,exact,claude-opus-5,42.1210,1.0000,True,True,remeasure
ipb_cpu_004_aes128_ctr,exact,claude-sonnet-5,128.1690,0.9925,True,True,remeasure
ipb_cpu_004_aes128_ctr,fuzzy,claude-opus-5,46.1360,1.0000,True,True,remeasure
ipb_cpu_004_aes128_ctr,fuzzy,claude-opus-5,4805.6320,0.0000,False,True,remeasure
ipb_cpu_004_aes128_ctr,fuzzy,claude-opus-5,67.2200,1.0000,True,True,remeasure
ipb_cpu_004_aes128_ctr,fuzzy,claude-sonnet-5,203.9030,0.9749,True,True,remeasure
ipb_cpu_004_aes128_ctr,fuzzy,gpt-5.6-luna,226.4850,N/A,N/A,N/A,results
ipb_cpu_004_aes128_ctr,fuzzy,gpt-5.6-terra,134.1030,N/A,N/A,N/A,results
ipb_cpu_004_aes128_ctr,misleading,claude-opus-5,46.6260,1.0000,True,True,remeasure
ipb_cpu_004_aes128_ctr,misleading,claude-opus-5,46.6960,1.0000,True,True,remeasure
ipb_cpu_004_aes128_ctr,misleading,claude-opus-5,46.8520,1.0000,True,True,remeasure
ipb_cpu_004_aes128_ctr,misleading,claude-sonnet-5,4803.1280,0.0000,False,True,remeasure
ipb_cpu_004_aes128_ctr,misleading,gpt-5.6-luna,279.7940,N/A,N/A,N/A,results
ipb_cpu_004_aes128_ctr,misleading,gpt-5.6-terra,207.4870,N/A,N/A,N/A,results
ipb_cuda_001,fuzzy,claude-opus-5,63.4985,N/A,False,True,remeasure
ipb_cuda_001,fuzzy,claude-opus-5,62.9913,N/A,False,True,remeasure
ipb_cuda_001,fuzzy,claude-opus-5,66.6657,N/A,False,True,remeasure
ipb_cuda_001,fuzzy,gpt-5.6-luna,59.4527,N/A,N/A,N/A,results
ipb_cuda_001,fuzzy,gpt-5.6-luna,68.1834,N/A,N/A,N/A,results
ipb_cuda_001,fuzzy,gpt-5.6-luna,3.1438,N/A,N/A,N/A,results
ipb_cuda_001,fuzzy,gpt-5.6-luna,20.4262,N/A,N/A,N/A,results
ipb_cuda_001,fuzzy,gpt-5.6-terra,8.6323,N/A,N/A,N/A,results
ipb_cuda_001,misleading,claude-opus-5,16.4404,N/A,False,True,remeasure
ipb_cuda_001,misleading,claude-opus-5,16.4448,N/A,False,True,remeasure
ipb_cuda_001,misleading,claude-opus-5,16.4277,N/A,False,True,remeasure
ipb_cuda_001,misleading,gpt-5.6-luna,102.7372,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,103.2776,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,3.1409,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,103.9776,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,59.4235,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,102.7442,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,103.2858,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,59.4247,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,3.1214,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,103.2597,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-luna,3.1420,N/A,N/A,N/A,results
ipb_cuda_001,misleading,gpt-5.6-terra,19.5591,N/A,N/A,N/A,results
ipb_cuda_003,fuzzy,gpt-5.6-luna,1.2477,N/A,N/A,N/A,results
ipb_cuda_003,fuzzy,gpt-5.6-luna,1.2511,N/A,N/A,N/A,results
ipb_cuda_003,fuzzy,gpt-5.6-luna,1.9462,N/A,N/A,N/A,results
ipb_cuda_003,fuzzy,gpt-5.6-terra,49.6307,N/A,N/A,N/A,results
ipb_cuda_003,fuzzy,gpt-5.6-terra,49.2641,N/A,N/A,N/A,results
ipb_cuda_003,misleading,gpt-5.6-luna,1.0503,N/A,N/A,N/A,results
ipb_cuda_003,misleading,gpt-5.6-luna,0.9684,N/A,N/A,N/A,results
ipb_cuda_003,misleading,gpt-5.6-terra,5.7806,N/A,N/A,N/A,results
ipb_cuda_003,misleading,gpt-5.6-terra,49.2651,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,claude-opus-5,90.7223,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-luna,624.9177,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-luna,60.3305,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-luna,625.1187,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-luna,60.1400,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-luna,60.3647,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-luna,624.9006,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-luna,60.8964,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-luna,60.0919,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-terra,60.5907,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-terra,60.3371,N/A,N/A,N/A,results
ipb_cuda_004,fuzzy,gpt-5.6-terra,60.6173,N/A,N/A,N/A,results
ipb_cuda_004,misleading,claude-opus-5,90.7773,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-luna,632.4374,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-luna,632.4311,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-luna,632.3973,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-luna,629.8266,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-luna,60.1127,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-luna,627.2248,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-luna,632.4312,N/A,N/A,N/A,results
