task,variant,claude-haiku-4-5-20251001,claude-opus-5,claude-sonnet-5,gpt-5.6-luna,gpt-5.6-terra
ipb_cpu_001_gaussian_blur,fuzzy,,5.93,8.407,10.537,9.513
ipb_cpu_001_gaussian_blur,misleading,,3.036,103.173,6.909,5.975
ipb_cpu_002_sha256_throughput,fuzzy,,367.253,390.384,2091.416,2118.426
ipb_cpu_002_sha256_throughput,misleading,,331.937,411.361,2510.469,1937.155
ipb_cpu_003_vliw_scheduler,fuzzy,,1588.0,4080.0,1200.0,1590.0
ipb_cpu_003_vliw_scheduler,misleading,,1378.0,4080.0,4078.0,1418.0
ipb_cpu_004_aes128_ctr,fuzzy,,46.136,203.903,226.485,134.103
ipb_cpu_004_aes128_ctr,misleading,,46.626,4803.128,279.794,207.487
ipb_cuda_001,fuzzy,,63.4985,,59.4527,8.6323
ipb_cuda_001,misleading,,16.4404,,102.7372,19.5591
ipb_cuda_003,fuzzy,,,,1.2477,49.6307
ipb_cuda_003,misleading,,,,1.0503,5.7806
ipb_cuda_004,fuzzy,,90.7223,,624.9177,60.5907
ipb_cuda_004,misleading,,90.7773,,632.4374,60.8373
ipb_cuda_005_icp_correspondence,fuzzy,,4.3075,0.3847,,
ipb_cuda_005_icp_correspondence,misleading,,4.3169,4.1404,,
ipb_cuda_005_l2norm_reduction,fuzzy,,0.007,0.0247,,
ipb_cuda_005_l2norm_reduction,misleading,,0.0052,0.007,,
ipb_cuda_007_kmeans_clustering,fuzzy,,39.06,39.09,33.75,
ipb_cuda_007_kmeans_clustering,misleading,,37.88,702.79,39.94,
ipb_cuda_008_conv1d_shared,fuzzy,,8.39,8.36,8.61,
ipb_cuda_008_conv1d_shared,misleading,,8.9,9.09,8.35,
ipb_cuda_009_matrix_transpose,fuzzy,,0.08,0.08,0.08,
ipb_cuda_009_matrix_transpose,misleading,,0.08,0.08,0.08,
ipb_cuda_010_layernorm,fuzzy,,0.032,0.0341,0.0321,
ipb_cuda_010_layernorm,misleading,,0.0439,0.0202,0.0852,
ipb_dev_003,fuzzy,0.1576,,2.038,,
ipb_dev_003,misleading,0.6176,,3.9622,,
ipb_dev_004,fuzzy,0.1759,,,,
ipb_dev_004,misleading,0.7437,,,,
ipb_dev_005,fuzzy,0.4782,,,,
ipb_dev_005,misleading,1.6538,,,,
ipb_dev_006,fuzzy,,0.1475,,,
ipb_dev_006,misleading,,0.1961,,,
ipb_dev_007,fuzzy,0.0189,,,,
ipb_dev_007,misleading,0.0346,,,,
ipb_dev_008,fuzzy,0.0439,,,,
ipb_dev_008,misleading,0.0058,,,,
ipb_dev_009,fuzzy,0.2003,,,,
ipb_dev_009,misleading,0.1804,,,,
ipb_dev_010,fuzzy,0.0782,,,,
ipb_dev_010,misleading,0.115,,,,
ipb_dev_015,misleading,0.1577,,,,
ipb_dev_026,misleading,0.0194,,,,
ipb_dev_027,fuzzy,,0.0705,,,
ipb_dev_027,misleading,0.1512,0.0707,,,
ipb_dev_031,fuzzy,,0.0176,,,
ipb_dev_031,misleading,,0.0183,,,
ipb_dev_033,misleading,0.0416,,,,
ipb_dev_034,misleading,0.0259,,,,
ipb_dev_035,fuzzy,,0.0274,,,
ipb_dev_035,misleading,,0.028,,,
ipb_dev_036,fuzzy,,0.1072,,,
ipb_dev_036,misleading,,0.1077,,,
ipb_dev_037,fuzzy,,0.1877,,,
ipb_dev_037,misleading,,0.0375,,,
ipb_dev_038,fuzzy,,0.0341,,,
ipb_dev_038,misleading,,0.0339,,,
ipb_dev_039,fuzzy,,0.3706,,,
ipb_dev_039,misleading,,0.2813,,,
ipb_dev_040,fuzzy,,0.5303,,,
ipb_dev_040,misleading,,0.457,,,
ipb_dev_041,fuzzy,,0.543,,,
ipb_dev_041,misleading,,0.478,,,
